name,birthday,nationality,photo_path
Leonardo DiCaprio,1974-11-11,USA,actors_photos/leonardo_dicaprio.png
Scarlett Johansson,1984-11-22,USA,actors_photos/scarlett_johansson.png
Tom Hanks,1956-07-09,USA,actors_photos/tom_hanks.png
Natalie Portman,1981-06-09,USA,actors_photos/natalie_portman.png
Morgan Freeman,1937-06-01,USA,actors_photos/morgan_freeman.png
Jennifer Lawrence,1990-08-15,USA,actors_photos/jennifer_lawrence.png
Johnny Depp,1963-06-09,USA,actors_photos/johnny_depp.png
Emma Stone,1988-11-06,USA,actors_photos/emma_stone.png
Brad Pitt,1963-12-18,USA,actors_photos/brad_pitt.png
Angelina Jolie,1975-06-04,USA,actors_photos/angelina_jolie.png
Chris Evans,1981-06-13,USA,actors_photos/chris_evans.png
Gal Gadot,1985-04-30,ISR,actors_photos/gal_gadot.png
Robert Downey Jr.,1965-04-04,USA,actors_photos/robert_downey_jr.png
Anne Hathaway,1982-11-12,USA,actors_photos/anne_hathaway.png
Denzel Washington,1954-12-28,USA,actors_photos/denzel_washington.png
Meryl Streep,1949-06-22,USA,actors_photos/meryl_streep.png
Christian Bale,1974-01-30,GBR,actors_photos/christian_bale.png
Emma Watson,1990-04-15,GBR,actors_photos/emma_watson.png
Hugh Jackman,1968-10-12,AUS,actors_photos/hugh_jackman.png
Natalie Dormer,1982-02-11,GBR,actors_photos/natalie_dormer.png
Samuel L. Jackson,1948-12-21,USA,actors_photos/samuel_l_jackson.png
Cate Blanchett,1969-05-14,AUS,actors_photos/cate_blanchett.png
Mark Ruffalo,1967-11-22,USA,actors_photos/mark_ruffalo.png
Jessica Chastain,1977-03-24,USA,actors_photos/jessica_chastain.png
Matt Damon,1970-10-08,USA,actors_photos/matt_damon.png
Viola Davis,1965-08-11,USA,actors_photos/viola_davis.png
Chris Hemsworth,1983-08-11,AUS,actors_photos/chris_hemsworth.png
Jennifer Aniston,1969-02-11,USA,actors_photos/jennifer_aniston.png
Will Smith,1968-09-25,USA,actors_photos/will_smith.png
Kate Winslet,1975-10-05,GBR,actors_photos/kate_winslet.png
Ryan Reynolds,1976-10-23,CAN,actors_photos/ryan_reynolds.png
Amy Adams,1974-08-20,USA,actors_photos/amy_adams.png
Chris Pratt,1979-06-21,USA,actors_photos/chris_pratt.png
Robert Pattinson,1986-05-13,GBR,actors_photos/robert_pattinson.png
Emma Thompson,1959-04-15,GBR,actors_photos/emma_thompson.png
Joaquin Phoenix,1974-10-28,USA,actors_photos/joaquin_phoenix.png
Helen Mirren,1945-07-26,GBR,actors_photos/helen_mirren.png
Jake Gyllenhaal,1980-12-19,USA,actors_photos/jake_gyllenhaal.png
Matthew McConaughey,1969-11-04,USA,actors_photos/matthew_mcconaughey.png
Charlize Theron,1975-08-07,ZAF,actors_photos/charlize_theron.png
